ts,USD,EUR,GBP,JPY,CHF,CAD,AUD,NZD
2026.07.03 02:00,-0.56102248,-0.01325238,-0.04992146,0.40892095,0.46756119,-0.30809802,0.09797428,-0.04216208
2026.07.03 03:00,-0.52803241,-0.00231017,-0.07033538,0.35920220,0.41463992,-0.27609512,0.11164243,-0.00871147
2026.07.03 04:00,-0.47955895,-0.01167938,-0.09811809,0.12917872,0.35891434,-0.24206402,0.22460025,0.11872713
2026.07.03 05:00,-0.42240254,-0.02977422,-0.12550640,-0.05071954,0.28893512,-0.16927751,0.32145851,0.18728659
2026.07.03 06:00,-0.32826957,-0.02150745,-0.15671521,-0.21726257,0.22426585,-0.10537017,0.35575616,0.24910296
2026.07.03 07:00,-0.29056705,-0.02360665,-0.19414264,-0.30897517,0.15194701,-0.03269284,0.38785251,0.31018482
2026.07.03 08:00,-0.26955593,-0.00543858,-0.15908921,-0.37748706,0.10586827,0.01511195,0.34043925,0.35015130
2026.07.03 09:00,-0.34302651,-0.03908961,-0.16977263,-0.23428197,0.13089223,-0.10789821,0.32700195,0.43617476
2026.07.03 10:00,-0.34879390,-0.07201242,-0.12631997,-0.15498340,0.07072678,-0.17059556,0.32903048,0.47294800
2026.07.03 11:00,-0.25004618,-0.00976401,-0.13397331,-0.21311664,0.01180821,-0.16622739,0.29876619,0.46255314
2026.07.03 12:00,-0.09067932,-0.02981000,-0.15421524,-0.18968165,-0.06433116,-0.13042635,0.24674642,0.41239731
2026.07.03 13:00,-0.11130698,0.06544351,-0.12866853,-0.18485049,-0.09934826,-0.17664884,0.25589250,0.37948708
2026.07.03 14:00,-0.15366832,0.11347721,-0.09833875,-0.19137725,-0.06719681,-0.29955035,0.30633628,0.39031798
2026.07.03 15:00,-0.13897799,0.14098336,-0.02656953,-0.20375879,-0.09011124,-0.39448578,0.34566865,0.36725132
2026.07.03 16:00,-0.12754763,0.13503614,-0.04398800,-0.21293692,-0.09292558,-0.42058830,0.37190006,0.39105024
2026.07.03 17:00,-0.11992438,0.14792254,0.01478334,-0.22203458,-0.06948431,-0.44034294,0.35034644,0.33873389
2026.07.03 18:00,-0.07883396,0.11357504,0.01830130,-0.21374082,-0.07454323,-0.44826859,0.36142997,0.32208027
2026.07.03 19:00,-0.05087382,0.11836193,0.02375100,-0.21051399,-0.09961600,-0.46526435,0.36276252,0.32139271
2026.07.03 20:00,-0.02894893,0.12396857,0.02792193,-0.18515194,-0.08376156,-0.45730313,0.35198711,0.25128796
2026.07.03 21:00,0.00010654,0.10172159,0.03697940,-0.18317095,-0.09258840,-0.41849981,0.34086451,0.21458712
2026.07.03 22:00,0.04584637,0.09032940,0.03774458,-0.14337539,-0.09790489,-0.39125532,0.28885392,0.16976134
2026.07.03 23:00,0.07480790,0.01151347,0.00393332,-0.13118094,0.00191393,-0.35930030,0.24256988,0.15574275
2026.07.06 00:00,0.13549513,-0.00312089,0.03341547,-0.11567782,-0.03069478,-0.31923321,0.24156526,0.05825085
2026.07.06 01:00,0.21733008,0.07038778,0.05357266,-0.14597477,-0.06756588,-0.28597516,0.20988397,-0.05165869
2026.07.06 02:00,0.25183739,0.07291153,0.10673880,-0.18688590,-0.06780081,-0.25396543,0.20287823,-0.12571381
2026.07.06 03:00,0.27180768,0.08350565,0.14022010,-0.25215798,-0.03683327,-0.21337980,0.18609537,-0.17925775
2026.07.06 04:00,0.38251367,0.11072777,0.17352903,-0.35611916,-0.05838274,-0.09812302,0.21768035,-0.37182589
2026.07.06 05:00,0.37466640,0.13070512,0.21353668,-0.41319780,-0.03124542,-0.03879911,0.17526156,-0.41092744
2026.07.06 06:00,0.40274108,0.15014096,0.23104324,-0.48911816,-0.01440783,0.05228912,0.14333871,-0.47602711
2026.07.06 07:00,0.37511921,0.15335429,0.21482872,-0.57800000,0.00649621,0.08974731,0.21283432,-0.47438006
2026.07.06 08:00,0.40493798,0.13295477,0.23979723,-0.60680757,-0.00615127,0.15608334,0.23294958,-0.55376406
2026.07.06 09:00,0.42307352,0.18608957,0.25016653,-0.71147689,-0.07172582,0.18278238,0.24722665,-0.50613594
2026.07.06 10:00,0.38459912,0.13285490,0.28865263,-0.75012373,-0.01731575,0.12929121,0.31953305,-0.48749143
2026.07.06 11:00,0.42983612,0.16049942,0.27488957,-0.75070435,-0.05701487,0.13633088,0.33176573,-0.52560250
2026.07.06 12:00,0.45318457,0.13659597,0.28806665,-0.76299356,-0.08797537,0.14802168,0.34817426,-0.52307421
2026.07.06 13:00,0.42145982,0.16499991,0.28851935,-0.79143155,-0.11429715,0.16544134,0.37087355,-0.50556527
2026.07.06 14:00,0.43687639,0.13151576,0.33368539,-0.79491235,-0.16936588,0.15673518,0.38951942,-0.48405392
