ts,USD,EUR,GBP,JPY,CHF,CAD,AUD,NZD
2026.02.03 00:00,-0.79927936,-0.32581187,-0.19555379,-0.24193460,0.38668033,-0.23901477,0.65299850,0.76191556
2026.02.04 00:00,-0.79226677,-0.31491470,-0.18185325,-0.30190156,0.41162858,-0.20208919,0.66338382,0.71801306
2026.02.05 00:00,-0.75458343,-0.28479561,-0.26353211,-0.25690233,0.45633781,-0.17407461,0.62179371,0.65575656
2026.02.06 00:00,-0.75825059,-0.30530694,-0.25021669,-0.32162295,0.42607463,-0.19048292,0.70889756,0.69090790
2026.02.09 00:00,-0.81275750,-0.28791841,-0.29262918,-0.29656050,0.46783975,-0.15548390,0.75175075,0.62575898
2026.02.10 00:00,-0.80361731,-0.30576421,-0.36037466,-0.15273722,0.44921634,-0.13235613,0.74290934,0.56272384
2026.02.11 00:00,-0.76882789,-0.33932438,-0.38682429,-0.04361840,0.37237618,-0.14462913,0.79509449,0.51575343
2026.02.12 00:00,-0.72672457,-0.33767222,-0.40764236,0.03286261,0.40868942,-0.16845107,0.77056844,0.42836974
2026.02.13 00:00,-0.67410841,-0.34277650,-0.37235331,0.08693688,0.38970628,-0.18638820,0.73579195,0.36319132
2026.02.16 00:00,-0.55677364,-0.33942512,-0.37711338,0.08987016,0.32809445,-0.17180594,0.75060050,0.27655297
2026.02.17 00:00,-0.45149780,-0.31580540,-0.45131452,0.16402633,0.22853516,-0.16411219,0.74547828,0.24469015
2026.02.18 00:00,-0.25295595,-0.31048592,-0.45311239,0.14930865,0.24897610,-0.11437706,0.68433080,0.04831578
2026.02.19 00:00,-0.12786863,-0.28291091,-0.51619408,0.13604697,0.21527215,-0.06503027,0.64595271,-0.00526794
2026.02.20 00:00,-0.00375204,-0.24748329,-0.52632817,0.11833246,0.12902751,-0.04132527,0.64293438,-0.07140558
2026.02.23 00:00,0.10397233,-0.20334761,-0.51838821,0.11177031,0.10371373,-0.03728610,0.57078467,-0.13121913
2026.02.24 00:00,0.17290280,-0.18886149,-0.49294478,0.02551818,0.10854623,-0.02130952,0.54153037,-0.14538180
2026.02.25 00:00,0.16686500,-0.14867308,-0.43124066,-0.04040277,0.07213183,-0.06429126,0.59339854,-0.14778760
2026.02.26 00:00,0.15136725,-0.07619650,-0.46595153,0.00619148,0.10442174,-0.07209674,0.54958763,-0.19732334
2026.02.27 00:00,0.09302844,-0.06527293,-0.47633499,-0.02100269,0.17864242,-0.06266872,0.54021010,-0.18660163
2026.03.02 00:00,0.14702267,-0.13778177,-0.44353921,-0.04918707,0.09830248,0.03872424,0.57619698,-0.22973832
2026.03.03 00:00,0.23575987,-0.20944219,-0.41577582,-0.04460252,0.10155972,0.15053349,0.48463901,-0.30267156
2026.03.04 00:00,0.24320186,-0.27481665,-0.39927912,-0.05017510,0.06827281,0.18560513,0.46636271,-0.23917164
2026.03.05 00:00,0.31345900,-0.30040082,-0.31826235,-0.08332626,0.05251055,0.23848816,0.36059280,-0.26306108
2026.03.06 00:00,0.31182310,-0.37390697,-0.23633271,-0.19343375,0.09833845,0.38130274,0.31593581,-0.30372667
2026.03.08 00:00,0.43991500,-0.43216608,-0.22728512,-0.21078828,0.10997501,0.48239489,0.20063220,-0.36267761
2026.03.09 00:00,0.39488497,-0.40864850,-0.16399300,-0.31730842,0.05118108,0.46640905,0.25756678,-0.28009195
2026.03.10 00:00,0.37669534,-0.43805667,-0.13891915,-0.43608208,0.05767546,0.50421989,0.34726280,-0.27279560
2026.03.11 00:00,0.36407349,-0.47431784,-0.08881265,-0.53354947,0.04523107,0.53806857,0.44115454,-0.29184770
2026.03.12 00:00,0.42373090,-0.48627785,-0.05010520,-0.51745605,-0.02209854,0.58821994,0.42142568,-0.35743888
2026.03.13 00:00,0.51975087,-0.50868869,-0.05625862,-0.42835018,-0.02346943,0.61339225,0.34394150,-0.46031770
2026.03.15 00:00,0.51399616,-0.52697428,-0.02711169,-0.38419217,-0.03016937,0.58516244,0.32305877,-0.45376987
2026.03.16 00:00,0.43760814,-0.52830632,0.01240876,-0.37247051,-0.08615358,0.53422459,0.37359595,-0.37090703
2026.03.17 00:00,0.38165199,-0.51564129,0.04400200,-0.34607484,-0.08932044,0.46818066,0.41533937,-0.35813744
